country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m
Afghanistan,140612,0,6147,0,87634,0,676680,39837868,507,3605,157,2247
Albania,132665,0,2456,0,130072,0,854326,2874520,5355,66332,1228,65036
Algeria,152210,0,3922,0,104992,0,230861,44673457,3975,3459,89,2386
Andorra,14273,0,127,0,13844,0,193595,77394,40897,0,0,0
Angola,40707,0,954,0,34732,0,681443,33924531,2809,1233,28,1052
Antigua and Barbuda,1268,0,42,0,1224,0,16799,98773,17113,0,0,0
Argentina,4749443,0,101434,0,4379169,0,18203426,45627434,9912,105543,2254,97314
Armenia,227430,132,4566,7,218331,89,1267617,2969016,4622,113715,2283,109165
Australia,31899,129,914,1,29594,0,22807188,25807660,55057,1275,36,1183
Austria,653735,323,10729,1,639573,151,61897934,9059925,50121,72637,1192,71063
Azerbaijan,338183,0,4991,0,331200,0,3905500,10234301,4805,33818,499,33120
Bahamas,13404,0,273,0,12066,0,113323,397155,34863,0,0,0
Bahrain,267796,0,1380,0,265521,0,5257729,1762739,23443,267796,1380,265521
Bangladesh,1092411,0,17669,0,923163,0,7215581,166396831,1855,6580,106,5561
Barbados,4251,0,48,0,4156,0,200344,287742,18148,0,0,0
Belarus,434362,953,3326,10,428202,1177,7090605,9446082,6839,48262,369,47578
Belgium,1103413,0,25209,0,1051372,0,16330887,11642175,46414,100310,2291,95579
Belize,13683,0,332,0,13035,0,171024,405125,5078,0,0,0
Benin,8244,0,107,0,8081,0,604310,12452310,1219,687,8,673
Bhutan,2411,0,2,0,2038,0,798573,780448,3316,0,0,0
Bolivia (Plurinational State of),461714,896,17443,37,389170,1191,1980665,11838579,3552,41974,1585,35379
Bosnia and Herzegovina,205285,0,9666,0,187213,0,1051854,3259516,6120,68428,3222,62404
Botswana,86133,0,1274,0,73380,0,1394594,2400916,7970,43066,637,36690
Brazil,19342448,0,541323,0,17983275,0,54204686,214132782,8897,90385,2529,84033
Brunei Darussalam,283,0,3,0,260,0,147357,441839,31085,0,0,0
Bulgaria,422930,0,18169,0,397170,0,3414813,6893831,9828,70488,3028,66195
Burkina Faso,13536,0,169,0,13340,0,201923,21497156,786,644,8,635
Burundi,5802,0,8,0,773,0,345742,12257487,261,483,0,64
Central African Republic,7142,0,98,0,6859,0,54814,4916998,467,1785,24,1714
Cabo Verde,33270,0,295,0,32421,0,190877,562270,3603,0,0,0
Cambodia,67181,845,1106,30,58930,975,1632339,16959533,1643,4198,69,3683
Cameroon,81467,0,1330,0,78224,0,1751774,27230961,1507,3017,49,2897
Canada,1422918,0,26492,0,1391722,0,37679387,38086613,46326,37445,697,36624
Chad,4964,0,174,0,4777,0,129094,16914059,709,310,10,298
Chile,1598481,0,34403,0,1549660,0,17949205,19287015,14741,84130,1810,81561
China,92246,33,4636,0,87061,22,160000000,1439323776,10216,64,3,60
Colombia,4621260,0,115831,0,4372434,0,21532578,51447187,6424,90612,2271,85734
Comoros,4011,2,147,0,3837,12,0,888824,1370,0,0,0
Congo,12933,0,172,0,11759,0,158304,5658916,2359,2586,34,2351
Costa Rica,389798,0,4874,0,313223,0,1619389,5142535,12669,77959,974,62644
Croatia,361595,107,8238,2,352613,84,2217169,4078840,14944,90398,2059,88153
Cuba,275608,0,1843,0,230140,0,5812725,11319406,9099,25055,167,20921
Cyprus,90338,0,384,0,73452,0,8791000,1216511,28288,90338,384,73452
Czech Republic,1671027,195,30338,0,1637729,13,31533564,10729691,23490,167102,3033,163772
Democratic Republic of the Congo,45426,0,984,0,28801,0,236885,92380366,580,493,10,313
Denmark,306100,641,2542,0,292825,357,73564323,5813457,60213,61220,508,58565
Djibouti,11622,0,155,0,11457,0,183068,1002935,3414,11622,155,11457
Dominica,206,0,0,0,195,0,20575,72172,8001,0,0,0
Dominican Republic,337147,0,3915,0,278707,0,1792584,10961113,8282,33714,391,27870
Ecuador,475215,0,21933,0,437167,0,1605583,17921506,6222,27953,1290,25715
El Salvador,82852,0,2484,0,75136,0,1106352,6520299,4167,13808,414,12522
Equatorial Guinea,8828,0,123,0,8591,0,149330,1450675,8419,8828,123,8591
Estonia,131848,41,1271,0,128110,0,1585697,1327465,23717,131848,1271,128110
Eswatini,21062,0,703,0,18768,0,237295,1172663,3894,21062,703,18768
Ethiopia,277615,0,4354,0,262265,0,2951438,117916111,855,2372,37,2241
Fiji,16471,0,85,0,3377,0,263820,903209,6175,0,0,0
Finland,100156,180,978,0,46000,0,5667343,5549693,48711,20031,195,9200
France,5855198,0,111467,0,5658554,0,98202524,65424061,40380,90079,1714,87054
Gabon,25260,0,162,0,24973,0,936707,2280203,7767,12630,81,12486
Gambia (Republic of The),6610,0,188,0,5991,0,89338,2487001,777,3305,94,2995
Georgia,387481,1286,5551,13,365019,1701,6314133,3981180,4697,129160,1850,121673
Germany,3751234,0,91894,0,3639300,500,65845568,84063131,46467,44657,1093,43325
