일자,ALL(1),ALL(FIN),아제(1),아제(FIN),화이자(1),화이자(FIN),얀센,모더나(1),모더나(FIN)
2021-02-26 00:00:00,20308,0,20308,0,0,0,0,0,0
2021-02-27 00:00:00,21732,0,21414,0,318,0,0,0,0
2021-02-28 00:00:00,22596,0,21991,0,605,0,0,0,0
2021-03-01 00:00:00,24071,0,23173,0,898,0,0,0,0
2021-03-02 00:00:00,90484,0,88957,0,1527,0,0,0,0
2021-03-03 00:00:00,159920,0,157173,0,2747,0,0,0,0
2021-03-04 00:00:00,230259,0,226345,0,3914,0,0,0,0
2021-03-05 00:00:00,300713,0,295404,0,5309,0,0,0,0
2021-03-06 00:00:00,318721,0,313412,0,5309,0,0,0,0
2021-03-07 00:00:00,320796,0,315487,0,5309,0,0,0,0
2021-03-08 00:00:00,388225,0,381750,0,6475,0,0,0,0
2021-03-09 00:00:00,451597,0,442977,0,8620,0,0,0,0
2021-03-10 00:00:00,505612,0,492066,0,13546,0,0,0,0
2021-03-11 00:00:00,550055,0,529375,0,20680,0,0,0,0
2021-03-12 00:00:00,588145,0,561206,0,26939,0,0,0,0
2021-03-13 00:00:00,591980,0,564495,0,27485,0,0,0,0
2021-03-14 00:00:00,593150,0,565599,0,27551,0,0,0,0
2021-03-15 00:00:00,605601,0,577435,0,28166,0,0,0,0
2021-03-16 00:00:00,624429,0,589621,0,34808,0,0,0,0
2021-03-17 00:00:00,644213,0,599447,0,44766,0,0,0,0
2021-03-18 00:00:00,663495,0,609773,0,53722,0,0,0,0
2021-03-19 00:00:00,680298,0,620447,0,59851,0,0,0,0
2021-03-20 00:00:00,681533,313,620694,0,60839,313,0,0,0
2021-03-21 00:00:00,681533,593,620694,0,60839,593,0,0,0
2021-03-22 00:00:00,685203,883,624339,0,60864,883,0,0,0
2021-03-23 00:00:00,706965,1498,646100,0,60865,1498,0,0,0
2021-03-24 00:00:00,737472,2692,676607,1,60865,2691,0,0,0
2021-03-25 00:00:00,771875,3834,711005,1,60870,3833,0,0,0
2021-03-26 00:00:00,796641,5233,735769,1,60872,5232,0,0,0
2021-03-27 00:00:00,797922,5233,737050,1,60872,5232,0,0,0
2021-03-28 00:00:00,797967,5233,737095,1,60872,5232,0,0,0
2021-03-29 00:00:00,825888,6152,765016,1,60872,6151,0,0,0
2021-03-30 00:00:00,855851,8188,794972,1,60879,8187,0,0,0
2021-03-31 00:00:00,879953,12977,819049,3,60904,12974,0,0,0
2021-04-01 00:00:00,917498,20244,837469,3,80029,20241,0,0,0
2021-04-02 00:00:00,956982,26841,856839,4,100143,26837,0,0,0
2021-04-03 00:00:00,965566,27385,859255,4,106311,27381,0,0,0
2021-04-04 00:00:00,966196,27451,859314,4,106882,27447,0,0,0
2021-04-05 00:00:00,1003096,27768,873787,5,129309,27763,0,0,0
2021-04-06 00:00:00,1041956,33512,890166,5,151790,33507,0,0,0
2021-04-07 00:00:00,1079613,42753,906934,7,172679,42746,0,0,0
2021-04-08 00:00:00,1116776,52253,914155,7,202621,52246,0,0,0
2021-04-09 00:00:00,1150423,59539,918323,7,232100,59532,0,0,0
2021-04-10 00:00:00,1159221,60628,918885,7,240336,60621,0,0,0
2021-04-11 00:00:00,1159526,60628,918885,7,240641,60621,0,0,0
2021-04-12 00:00:00,1197840,60653,926369,7,271471,60646,0,0,0
2021-04-13 00:00:00,1242235,60657,939466,8,302769,60649,0,0,0
2021-04-14 00:00:00,1288800,60660,954395,9,334405,60651,0,0,0
2021-04-15 00:00:00,1382584,60663,974618,10,407966,60653,0,0,0
2021-04-16 00:00:00,1486102,60863,1001539,204,484563,60659,0,0,0
2021-04-17 00:00:00,1515512,60863,1002886,204,512626,60659,0,0,0
2021-04-18 00:00:00,1520378,60863,1002888,204,517490,60659,0,0,0
2021-04-19 00:00:00,1643340,60865,1046948,205,596392,60660,0,0,0
2021-04-20 00:00:00,1774705,60878,1096106,207,678599,60671,0,0,0
2021-04-21 00:00:00,1907362,60904,1144364,207,762998,60697,0,0,0
2021-04-22 00:00:00,2039261,79445,1198027,215,841234,79230,0,0,0
2021-04-23 00:00:00,2199495,99061,1281373,216,918122,98845,0,0,0
2021-04-24 00:00:00,2264601,104834,1315531,220,949070,104614,0,0,0
2021-04-25 00:00:00,2270889,105201,1316691,220,954198,104981,0,0,0
2021-04-26 00:00:00,2413707,126804,1374140,221,1039567,126583,0,0,0
