country,tot_cases,new_cases,tot_deaths,new_deaths,tot_recov,new_recov,tests,pop,2019_gdp,tot_cases_1m,tot_deaths_1m,tot_recov_1m,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Afghanistan,140612,0,6147,0,87634,0,676680,39837868,507,3605,157,2247,12716525.0,10093624.0,2368962.0,6874.0,978002.0
Albania,132665,0,2456,0,130072,0,854326,2874520,5355,66332,1228,65036,59995941.0,27643887.0,18105837.0,778756.0,1044548.0
Algeria,152210,0,3922,0,104992,0,230861,44673457,3975,3459,89,2386,2575030.0,2575030.0,0.0,30.0,2437370.0
Andorra,14273,0,127,0,13844,0,193595,77394,40897,0,0,0,579478.0,372490.0,145530.0,4802.0,69281.0
Angola,40707,0,954,0,34732,0,681443,33924531,2809,1233,28,1052,16412310.0,11683758.0,4728552.0,0.0,1541670.0
Antigua and Barbuda,1268,0,42,0,1224,0,16799,98773,17113,0,0,0,1597538.0,1109118.0,488420.0,6101.0,68256.0
Argentina,4749443,0,101434,0,4379169,0,18203426,45627434,9912,105543,2254,97314,1517405864.0,1225037926.0,291820492.0,26726152.0,26125003.0
Armenia,227430,132,4566,7,218331,89,1267617,2969016,4622,113715,2283,109165,819684.0,616495.0,147632.0,0.0,246628.0
Australia,31899,129,914,1,29594,0,22807188,25807660,55057,1275,36,1183,439697748.0,264594634.0,60986560.0,9021092.0,9628541.0
Austria,653735,323,10729,1,639573,151,61897934,9059925,50121,72637,1192,71063,606572397.0,404939894.0,207212254.0,9034807.0,8875584.0
Azerbaijan,338183,0,4991,0,331200,0,3905500,10234301,4805,33818,499,33120,249694953.0,156852774.0,92842179.0,3410566.0,4249160.0
Bahamas,13404,0,273,0,12066,0,113323,397155,34863,0,0,0,816842.0,599273.0,217559.0,110.0,99455.0
Bahrain,267796,0,1380,0,265521,0,5257729,1762739,23443,267796,1380,265521,191074260.0,115958193.0,83599278.0,1793786.0,2202494.0
Bangladesh,1092411,0,17669,0,923163,0,7215581,166396831,1855,6580,106,5561,671170740.0,465281609.0,205889131.0,4122749.0,10110269.0
Barbados,4251,0,48,0,4156,0,200344,287742,18148,0,0,0,13253983.0,9318056.0,3935927.0,162093.0,171280.0
Belarus,434362,953,3326,10,428202,1177,7090605,9446082,6839,48262,369,47578,4521070.0,2986348.0,1534722.0,0.0,1010936.0
Belgium,1103413,0,25209,0,1051372,0,16330887,11642175,46414,100310,2291,95579,771554509.0,528337437.0,254080969.0,12700209.0,12372891.0
Belize,13683,0,332,0,13035,0,171024,405125,5078,0,0,0,3270353.0,2768680.0,501673.0,61633.0,146786.0
Benin,8244,0,107,0,8081,0,604310,12452310,1219,687,8,673,148912.0,121491.0,27421.0,0.0,41250.0
Bhutan,2411,0,2,0,2038,0,798573,780448,3316,0,0,0,28521158.0,28518289.0,2869.0,482131.0,747553.0
Bolivia (Plurinational State of),461714,896,17443,37,389170,1191,1980665,11838579,3552,41974,1585,35379,100711861.0,75281798.0,25414025.0,1907240.0,2985106.0
Bosnia and Herzegovina,205285,0,9666,0,187213,0,1051854,3259516,6120,68428,3222,62404,1733654.0,1314016.0,483014.0,0.0,466875.0
Botswana,86133,0,1274,0,73380,0,1394594,2400916,7970,43066,637,36690,3415466.0,2675876.0,739590.0,10435.0,276995.0
Brazil,19342448,0,541323,0,17983275,0,54204686,214132782,8897,90385,2529,84033,6350256735.0,4532008588.0,1760450674.0,95603161.0,120348981.0
Brunei Darussalam,283,0,3,0,260,0,147357,441839,31085,0,0,0,0.0,0.0,0.0,0.0,0.0
Bulgaria,422930,0,18169,0,397170,0,3414813,6893831,9828,70488,3028,66195,148567506.0,92819544.0,55747962.0,1908706.0,1895076.0
Burkina Faso,13536,0,169,0,13340,0,201923,21497156,786,644,8,635,85649.0,82168.0,3481.0,0.0,34898.0
Burundi,5802,0,8,0,773,0,345742,12257487,261,483,0,64,2885486.0,2402413.0,483073.0,71772.0,121513.0
Central African Republic,7142,0,98,0,6859,0,54814,4916998,467,1785,24,1714,274839.0,274839.0,0.0,12887.0,80591.0
Cabo Verde,33270,0,295,0,32421,0,190877,562270,3603,0,0,0,826506.0,708825.0,67016.0,7462.0,115833.0
Cambodia,67181,845,1106,30,58930,975,1632339,16959533,1643,4198,69,3683,486182846.0,287405224.0,198777613.0,9862163.0,9460068.0
Cameroon,81467,0,1330,0,78224,0,1751774,27230961,1507,3017,49,2897,1080403.0,910893.0,169510.0,400.0,153955.0
Canada,1422918,0,26492,0,1391722,0,37679387,38086613,46326,37445,697,36624,2680381765.0,2120363817.0,560017948.0,45252627.0,44233947.0
Chad,4964,0,174,0,4777,0,129094,16914059,709,310,10,298,83645.0,69474.0,14171.0,0.0,18483.0
Chile,1598481,0,34403,0,1549660,0,17949205,19287015,14741,84130,1810,81561,2173927480.0,1283591610.0,903801295.0,24728860.0,24331743.0
China,92246,33,4636,0,87061,22,160000000,1439323776,10216,64,3,60,73361897700.0,622000000.0,223299000.0,1376097000.0,1424207358.0
Colombia,4621260,0,115831,0,4372434,0,21532578,51447187,6424,90612,2271,85734,899749956.0,596314687.0,307619534.0,15707558.0,22614446.0
Comoros,4011,2,147,0,3837,12,0,888824,1370,0,0,0,499753.0,229140.0,95826.0,0.0,81026.0
Congo,12933,0,172,0,11759,0,158304,5658916,2359,2586,34,2351,776755.0,776755.0,0.0,1486.0,142470.0
Costa Rica,389798,0,4874,0,313223,0,1619389,5142535,12669,77959,974,62644,25506084.0,16517795.0,8988289.0,0.0,2575583.0
Croatia,361595,107,8238,2,352613,84,2217169,4078840,14944,90398,2059,88153,154256418.0,103649805.0,50457917.0,1774687.0,2864024.0
Cuba,275608,0,1843,0,230140,0,5812725,11319406,9099,25055,167,20921,243206388.0,121586063.0,48322326.0,6109003.0,6277602.0
Cyprus,90338,0,384,0,73452,0,8791000,1216511,28288,90338,384,73452,32810799.0,20272046.0,12538013.0,266025.0,907319.0
Czech Republic,1671027,195,30338,0,1637729,13,31533564,10729691,23490,167102,3033,163772,625110782.0,415264668.0,214483500.0,9517262.0,9336166.0
Democratic Republic of the Congo,45426,0,984,0,28801,0,236885,92380366,580,493,10,313,491697.0,274471.0,18452.0,0.0,70982.0
Denmark,306100,641,2542,0,292825,357,73564323,5813457,60213,61220,508,58565,162818944.0,259603341.0,146199830.0,3196457.0,6288220.0
Djibouti,11622,0,155,0,11457,0,183068,1002935,3414,11622,155,11457,86384.0,47887.0,11701.0,0.0,16563.0
Dominica,206,0,0,0,195,0,20575,72172,8001,0,0,0,847647.0,556169.0,291478.0,6417.0,40756.0
Dominican Republic,337147,0,3915,0,278707,0,1792584,10961113,8282,33714,391,27870,444885419.0,293807048.0,149863312.0,7590812.0,9065437.0
Ecuador,475215,0,21933,0,437167,0,1605583,17921506,6222,27953,1290,25715,216783054.0,152696017.0,64087037.0,5500242.0,6844167.0
El Salvador,82852,0,2484,0,75136,0,1106352,6520299,4167,13808,414,12522,94508069.0,61970384.0,31103048.0,1687821.0,3376802.0
Equatorial Guinea,8828,0,123,0,8591,0,149330,1450675,8419,8828,123,8591,4931661.0,2891359.0,1770320.0,0.0,273185.0
